"featid","Key","Official.Name","Display.Name","System.Name","Asset.Number","Facilities.Code","Architect","Style","Location","Affiliation","Category","Primary.Use","UBC.Code","Planning","Condition","Operations","Ownership","Financing","Address","City","County","State","Zip.Code","Country","Address.Code","City.Code","County.Code","Floors","Height","Footprint","Perimeter","Basic.Gross","C.U.Gross","Circulation","Custodial","Mechanical","Parking","Toilet","Non.Assigned","Assignable","Space.Count","Net.Usable","Structural","Outside.Gross","Related.Gross","Maintained.Gross","Janitorized","Constructed","Occupied","Renovated","Vacated","Demolished","Construction","Capitalized","Replacement","Last.Reviewed","Prim..Usage..Percent.of.Net.Useable.","Primary.Usage..Type.","Prmary.Usage..SF.","Top.Org.with.Most.Space","Source...Campus.Steam.Loop","Sec..Usage..Percent.","Source...Campus.CHW.Loop","Secondary.Usage..Type.","Secondary.Usage..SF.","Dept..with.Most.Space","CAAN","CHW.Metered","Steam.Metered","Floor.Plans.PDF","Floor.Plans.DWG"
452,NA,"The Colleges at La Rue 194","Colleges at La Rue 194","CALR 194","Z0291","F216",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","194 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","194 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0291","No","No","Z0291","Z0291"
453,NA,"The Colleges at La Rue 182","Colleges at La Rue 182","CALR 182","Z0290","F222",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","182 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","182 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0290","No","No","Z0290","Z0290"
454,NA,"The Colleges at La Rue 146","Colleges at La Rue 146","CALR 146","Z0306","F230",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","146 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","146 ORCHARD PARK DRIVE",1475,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0306","No","No","Z0306","Z0306"
455,NA,"The Colleges at La Rue 144","Colleges at La Rue 144","CALR 144","Z0304","F226",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","144 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","144 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0304","No","No","Z0304","Z0304"
456,NA,"The Colleges at La Rue 176","Colleges at La Rue 176","CALR 176","Z0285","F211",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","176 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","176 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0285","No","No","Z0285","Z0285"
457,NA,"The Colleges at La Rue 186","Colleges at La Rue 186","CALR 186","Z0301","F231",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","186 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","186 ORCHARD PARK DRIVE",1475,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0301","No","No","Z0301","Z0301"
458,NA,"The Colleges at La Rue 140","Colleges at La Rue 140","CALR 140","Z0296","F213",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","140 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","140 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0296","No","No","Z0296","Z0296"
459,NA,"The Colleges at La Rue 152","Colleges at La Rue 152","CALR 152","Z0298","F209",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","152 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","152 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0298","No","No","Z0298","Z0298"
460,NA,"The Colleges at La Rue 184","Colleges at La Rue 184","CALR 184","Z0299","F228",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","184 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","184 ORCHARD PARK DRIVE",1475,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0299","No","No","Z0299","Z0299"
461,NA,"The Colleges at La Rue 142","Colleges at La Rue 142","CALR 142","Z0295","F219",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","142 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","142 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0295","No","No","Z0295","Z0295"
462,NA,"The Colleges at La Rue 172","Colleges at La Rue 172","CALR 172","Z0308","F233",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","172 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","172 ORCHARD PARK DRIVE",1475,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0308","No","No","Z0308","Z0308"
463,NA,"Primate Quarantine","Primate Quarantine","PRIM QUARNTN","4668","S034",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","4150 Primate Drive","Davis","Yolo","CA",NA,"USA","COUNTY ROAD 98",1475,57,1,16,2958,0,2958,1715,410,0,256,0,0,666,1869,24,2535,423,4673,3816,3816,2535,1996,"1996-10-19T07:00:00Z",NA,NA,NA,0,1375339,1416009,NA,71,"Animal",1805,"VICE CHANCELLOR- RESEARCH","No",16,"No","Circulation",410,"CALIF NATIONAL PRIMATE RESEARCH CTR","4668","No","No","4668","4668"
464,NA,"Aggie Village Lot 016, 285 Cottage Circle","Davis 285 Cottage Circle","Z0432","4769",NA,NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","FSH - Faculty / Staff Housing","2 - Heavy Timber","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","285 Cottage Circle","Davis","Yolo","CA",95616,"USA","285 COTTAGE CIRCLE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4769",NA,NA,"4769","4769"
465,NA,"University House","University House & Annex","UNIV HOUSE","3307","B013",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","155 Peter J. Shields Avenue","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,2,16,3968,0,3807,142,238,0,0,0,160,398,2983,16,3381,426,3949,3878,3878,3381,1908,"1908-06-01T07:00:00Z",NA,NA,NA,0,169387,1986507,"2013-03-14T07:00:00Z",79,"Office",2708,"OFFICE OF THE PROVOST","No",15,"No","Circulation",522,"SRVCS. FOR INT'L STU. & SCHOLARS","3307","No","No","3307","3307"
466,NA,"Animal Husbandry Feed Mill","Animal Husbandry Feed Mill","AH FEED MILL","3800","P017",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","4 - Incombustible Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2950 Straloch Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,4305,0,4305,0,0,0,0,0,0,0,3795,1,3795,510,4305,4305,4305,3795,1961,"1961-07-01T07:00:00Z",NA,NA,NA,0,176170,1575913,NA,100,"Special",3795,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",NA,"No",NA,NA,"ANIMAL SCIENCE","3800","No","No","3800","3800"
467,NA,"Lath House 006","Lath House 006","LATH 006","3277","Q008",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","325 Hopkins Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,4644,0,0,4644,0,0,0,0,0,0,4596,1,4596,-4596,4644,2322,2322,4596,1956,"1956-06-01T07:00:00Z",NA,NA,NA,0,5609,850005,NA,100,"Greenhouse",4596,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",NA,"No",NA,NA,"CENTRALIZED GREENHOUSE","3277","No","No","3277","3277"
468,NA,"Animal Husbandry Sheep Shed","Animal Husbandry Sheep Shed","AH SHEEP SH","3444","M005",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPC - Special Use","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2150 Brooks Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,11,5600,0,4000,1600,1600,0,0,0,0,1600,3861,1,5461,-1461,5600,4800,4800,5461,1953,"1953-06-01T07:00:00Z",NA,NA,NA,0,54400,1757116,NA,71,"Special",3861,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",29,"No","Circulation",1600,"ANIMAL SCIENCE","3444","No","No","3444","3444"
469,NA,"Animal Resource Service V (AH Goat)","Animal Resource Service V (AH Goat)","ARS V","3801","H260",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1300 Equine Lane","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,0,5402,0,5402,0,0,0,0,0,0,0,5137,5,5137,265,5402,5402,5402,5137,1962,"1962-08-01T07:00:00Z",NA,NA,NA,0,44923,1977487,NA,100,"Special",5137,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR LABORATORY ANIMAL SCIENCE","3801","No","No","3801","3801"
470,NA,"Equestrian Center Paddock","Equestrian Center Paddock","EQUES C PADD","4505","G057",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","REC - Athletics & Recreation","4 - Incombustible Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","1570 Equestrian Lane","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,4588,0,4320,268,864,0,0,0,0,864,3456,1,4320,0,4588,4454,4454,4320,1983,"1983-08-01T07:00:00Z",NA,NA,NA,0,17930,1630457,NA,80,"Animal",3456,"VC STUDENT AFFAIRS","No",20,"No","Circulation",864,"CAMPUS RECREATION","4505","No","No","4505","4505"
471,NA,"Head House R6","Head House R6","HD H R6","3763B","D035",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","503 Kleiber Hall Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,15,2830,0,2830,0,0,0,0,0,108,108,2454,6,2562,268,2830,2830,2830,2562,1958,"1958-09-01T07:00:00Z",NA,NA,NA,0,46835,1035966,NA,96,"Greenhouse",2454,"COLLEGE OF BIOLOGICAL SCIENCES","Yes",4,"No","Toilet",108,"PLANT BIOLOGY","3763B","No","No","3763B","3763B"
472,NA,"The Colleges at La Rue 192","Colleges at La Rue 192","CALR 192","Z0286","F212",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","192 Orchard Park Drive","Davis","Yolo","CA",NA,"USA","192 ORCHARD PARK DRIVE",1475,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0286","No","No","Z0286","Z0286"
473,NA,"Animal Physiology Chronic Acceleration Research Unit","Animal Physiology Chronic Acceleration Research Unit","APCARU","3830","N006",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","3 - Ordinary Masonry","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","2720 Hutchison Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,15,3200,0,3200,0,389,0,0,0,112,501,2517,9,3018,182,3200,3200,3200,3018,1963,"1963-07-01T07:00:00Z",NA,NA,NA,0,163205,1821747,NA,46,"Laboratory",1402,"COLLEGE OF BIOLOGICAL SCIENCES","No",37,"No","Animal",1115,"NEUROBIOLOGY, PHYSIOLOGY AND BEHAVIOR","3830","No","No","3830","3830"
474,NA,"Vet Med Beach Lab","Vet Med Beach Lab","VET BEACH LB","3486","D050",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","UNK - Unknown","3 - Ordinary Masonry","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","420 Storer Mall","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,20,4000,0,4000,0,0,0,143,0,0,143,3351,29,3494,506,4000,4000,4000,3494,1959,"1959-02-01T08:00:00Z",NA,NA,NA,0,396204,2923693,NA,93,"Animal",3234,"OPERATING BUDGET","Yes",4,"No","Mechanical",143,"CENTRALLY MANAGED SPACE (ASF)","3486","No","No","3486","3486"
475,NA,"Center for Health & Environment Clinical Medicine","Center for Health & Environment Clinical Medicine","CLN MED","4085","H215",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","NX - Not Owned, Other Charge","STND - Standard OMP Funding Eligibility (based on program)","1306 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,12,3871,0,3683,188,538,32,180,0,176,926,2546,12,3472,211,3871,3777,3777,3472,1966,"1966-10-01T07:00:00Z",NA,NA,NA,0,320,2686085,NA,67,"Laboratory",2316,"VICE CHANCELLOR- RESEARCH","No",15,"No","Circulation",538,"CENTER FOR HEALTH & THE ENVIRONMENT","4085","No","No","4085","4085"
476,NA,"Poultry House M","Poultry House M","P HS M","3482","Q017",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","5 - Wood Frame","P - Permanent","4 - Poor","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","647 Hopkins Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,13,4100,0,0,4100,0,0,0,0,0,0,4000,1,4000,-4000,4100,2050,2050,4000,1950,"1950-06-01T07:00:00Z",NA,NA,NA,0,14513,899036,NA,100,"Storage",4000,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",NA,"No",NA,NA,"FACILITIES BUILDING MAINTENANCE","3482","No","No","3482","3482"
477,NA,"Poultry House Y","Poultry House Y","P HS Y","3267","Q033",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","LAB - Lab / Research","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","731 Hopkins Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,12,3684,0,3684,0,0,0,0,0,0,0,3300,1,3300,384,3684,3684,3684,3300,1950,"1950-06-01T07:00:00Z",NA,NA,NA,0,24601,1348586,NA,100,"Special",3300,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",NA,"No",NA,NA,"ANIMAL SCIENCE","3267","No","No","3267","3267"
478,NA,"Robbins Hall Annex","Robbins Hall Annex","ROBBNS ANX","3363","B039",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","3 - Ordinary Masonry","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","190 California Avenue","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,18,2810,0,2810,0,184,46,44,0,41,315,2191,11,2506,304,2810,2810,2810,2506,1953,"1953-06-01T07:00:00Z",NA,NA,NA,0,273597,1503928,"2012-08-10T07:00:00Z",78,"Office",1961,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",9,"No","Laboratory",230,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","3363","No","No","3363","3363"
479,NA,"Max B. Kleiber Hall","Kleiber Hall","KLEIBR","4274","D067",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","CLS - Classroom","1 - Fire Resistive","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","525 Storer Mall","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,0,5291,0,5011,280,808,20,708,0,388,1924,2587,3,4511,500,5291,5151,5151,4511,1971,"1971-09-01T07:00:00Z",NA,NA,NA,0,597537,2825295,NA,57,"Classroom",2587,"OPERATING BUDGET","No",18,"No","Circulation",808,"CENTRALLY MANAGED SPACE (ASF)","4274","No","No","4274","4274"
480,NA,"South Campus Field Building","South Campus Field Building","STHCAMP FLB","3487","J017",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","SPT - Support","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","905 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,23,4100,0,4100,0,0,0,0,0,52,52,3692,6,3744,356,4100,4100,4100,3744,1955,"1955-01-01T08:00:00Z",NA,NA,NA,0,32649,1500870,NA,99,"Special",3692,"ADMINISTRATIVE AND RESOURCE MANAGEMENT","No",1,"No","Toilet",52,"UTILITIES SERVICES","3487","No","No","3487","3487"
481,NA,"Storage Unit 1","Storage Unit 1","STORE 1","4388","Q045",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","STR - Storage","3 - Ordinary Masonry","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","3325 Straloch Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,16,4000,0,4000,0,0,0,0,0,0,0,3850,5,3850,150,4000,4000,4000,3850,1973,"1973-06-01T07:00:00Z",NA,NA,NA,0,25087,1464263,NA,100,"Special",3850,"COLLEGE OF AG & ENVIRONMENTAL SCIENCES","No",NA,"No",NA,NA,"FOOD SCIENCE & TECHNOLOGY","4388","No","No","4388","4388"
482,NA,"Leukemia Lab","Leukemia Lab","LEUKEMIA LAB","4078","H208",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","STR - Storage","2 - Heavy Timber","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","543 Feline Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,19,3900,0,3660,240,850,12,220,0,216,1298,2486,24,3784,-124,3900,3780,3780,3784,1967,"1967-12-01T08:00:00Z",NA,NA,NA,0,281855,1657734,NA,66,"Storage",2486,"OPERATING BUDGET","No",22,"No","Circulation",850,"CENTRALLY MANAGED SPACE (ASF)","4078","No","No","4078","4078"
483,NA,"Center for the Arts Administration Building","CFA Administration Building","CFA ADMIN","4731","C113",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","342 Arboretum Drive","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,2,32,9045,0,9232,649,287,143,238,0,232,900,7255,21,8155,1077,9881,9557,9557,8155,2004,"2004-06-24T07:00:00Z",NA,NA,NA,0,2670073,0,"2014-01-30T08:00:00Z",88,"Office",6945,"OFFICE OF THE CHANCELLOR","No",4,"No","Special",319,"MONDAVI CENTER","4731","No","No","4731","4731"
484,NA,"Cottonwood Cottage","Cottonwood Cottage","COTTONWOOD","3236","E031",NA,NA,"03 - Davis","C - General Campus & Health Sciences","G - General","OFF - Academic / Administrative Office","5 - Wood Frame","P - Permanent","3 - Fair","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","428 La Rue Road","Davis","Yolo","CA",NA,"USA","CORE CAMPUS",1475,57,1,18,883,0,3484,0,194,0,105,0,111,410,2737,21,3147,337,3484,3484,3484,3147,1917,"1917-06-01T07:00:00Z",NA,NA,NA,0,260008,2146263,"2013-08-14T07:00:00Z",49,"Office",1552,"LAW SCHOOL DEAN'S OFC","No",21,"No","Library / Study",672,"LAW INSTRUCTION","3236","No","No","3236","3236"
485,NA,"Russell Park 401","Russell Park 401","RUSL PK 401","Z0850","F181",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","401 Russell Park","Davis","Yolo","CA",NA,"USA","401 RUSSELL PK",1475,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0850","No","No","Z0850","Z0850"
486,NA,"Animal Resource Service TP1","Animal Resource Service TP1","ARS TP1","4330","H031",NA,NA,"03 - Davis","C - General Campus & Health Sciences","M - Health Science","LAB - Lab / Research","5 - Wood Frame","P - Permanent","2 - Good","S - Zero ASF defaults to 100% State OMP Eligibility","UC - UC Owned, UC Constructed","STND - Standard OMP Funding Eligibility (based on program)","870 Old Davis Road","Davis (Solano)","Solano","CA",NA,"USA","CORE CAMPUS",1474,48,1,13,4096,0,0,4096,0,0,0,0,0,0,3840,1,3840,-3840,4096,2048,2048,3840,1971,"1971-09-01T07:00:00Z",NA,NA,NA,0,21887,749703,NA,100,"Animal",3840,"SCHOOL OF VETERINARY MEDICINE","No",NA,"No",NA,NA,"VM: CENTER FOR LABORATORY ANIMAL SCIENCE","4330","No","No","4330","4330"
487,NA,"Russell Park 402","Russell Park 402","RUSL PK 402","Z0852","F182",NA,NA,"03 - Davis","2 - Non-Inv Affiliate Asset on UC Land","R - Residential","STH - Student Housing","5 - Wood Frame","P - Permanent","2 - Good","X - Zero ASF defaults to Other Funds OMP Eligibility","XS - Non-Inventoried Structure","X100 - OMP 100% Other Funding","402 Russell Park","Davis","Yolo","CA",NA,"USA","402 RUSSELL PK",1475,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,"No",NA,"No",NA,NA,NA,"Z0852","No","No","Z0852","Z0852"
